house_r_candidates
John Burkel (i)
Debra Kiel (i)
Matthew Grossell (i)
Matt Bliss (i)
Roger Skraba
Natalie Zeleznikar
Lynn Halmrast
Jim Joy
Krista Knudsen
Mike Wiener
Ben Davis
Josh Heintzeman (i)
Spencer Igo (i)
Matt Norri
Art Johnston
Becky Hall
Jeff Backer (i)
Tom Murphy
Ron Kresha (i)
Isaac Schultz
Jeff Dotseth
Nathan Nelson (i)
Paul Anderson (i)
Mary Franson (i)
Lisa Demuth (i)
Tim O'Driscoll (i)
Bernie Perryman
Aaron Henning
Chris Swedzinski (i)
Paul Torkelson (i)
Dean Urdahl (i)
Dave Baker (i)
Dawn Gillman
Bobbie Harder
Susan Akland (i)
Dar Vosburg
Brian Daniels (i)
John Petersburg (i)
Pam Altendorf
Steven Jacob
Joe Schomacker (i)
Marj Fogelman
Bjorn Olson (i)
Brian Pfarr (i)
Peggy Bennett (i)
Patricia Mueller (i)
Duane Quam (i)
Katrina Pulham
Wendy Phillips
John Robinson
Stephen Doerr
Greg Davids (i)
Shane Mekeland (i)
Kurt Daudt (i)
Brian Johnson (i)
Anne Neu Brindley (i)
Joe McDonald (i)
Marion O'Neill (i)
Walter Hudson
Paul Novotny (i)
Harry Niska
Peggy Scott (i)
Nolan West (i)
Donald Raleigh (i)
Patti Anderson
Mark Bishofsky
Danny Nadeau
Scott Simmons
John Heinrich (i)
Polly Matteson
Elliott Engen
Heidi Gunderson
Kristin Robbins (i)
John Bristol
no candidate
Robert Marvin
Rod Sylvester
Mike Sharp
Ben Schwanke
Allen Shen
Mark Wiens
Shane Hudella
Kathy Burkett
Jackie Schroeder
no candidate
no candidate
Alex Pinkney
William Johnston
Andrew Myers
Lorie Cousineau
no candidate
no candidate
Bob Lawrence
Kelly Fenton
Jim Nash (i)
Greg Boe (i)
Ryan Chase
Thomas Knecht
Sami Cisman
Beth Beebe
Ryan Wiskerchen
Chad Anderson
Fern Smith
Cynthia Lonnquist
Todd Kruse
Steven Swoboda
Erik Mortensen (i)
Ben Bakeberg
Gabriela Kroetch
Van Holston
Joe Landru
Joe Scanlon
Jon Koznick (i)
Jeff Witte
Gary Bruggenthies
Pat Garofalo (i)
no candidate
no candidate
Diana Halsey
no candidate
no candidate
no candidate
no candidate
Taylor Hammond
Kyle Bragg
no candidate
Dan Walsh
Lorraine Englund
John Schonebaum
Kevin Fjelsted
Trace Johnson
Jay Hill
Scott Hesselgrave
Fred Turk
