senate_dfl_candidates
no candidate
Alan Roy
Grant Hauschild
Rob Kupec
A. John Peters
Steve Samuelson
Ben DeNucci
Jen McEwen (i)
Cornel Walker
Suzanne Cekalla
Michelle Boyechko
Kari Dorry
Alissa Brickman
Aric Putnam (i)
Anita Gaul
Fernando Alvarado
Chad Tschimperle
Nick Frentz (i)
Kate Falvey
Bradley Drenckhahn
no candidate
no candidate
Brandon Lawhead
Aleta Borrud
Liz Boldon
Daniel Wilson
Emy Minzel
Victoria Ann Bird
Chris Brazelton
Diane Nguyen
Jason Ruffalo
Kate Luthner
Nancy McLean
John Hoffman (i)
Kari Rehrauer
Heather Gustafson
Farhio Khalif
Susan Pha
Mary Kunesh-Podein (i)
John Marty (i)
Judy Seeberger
Bonnie Westlin
Ann Rest (i)
Tou Xiong
Kelly Morrison
Ron Latz (i)
Nicole Mitchell
Dan Kessler
Steve Cwodzinski (i)
Alice Mann
Melissa Halvorson Wiklund (i)
Jim Carlson (i)
Matt Klein (i)
Alicia Donahue
Lindsey Port (i)
Erin Maye Quade
Jackie L. Craig
Clarice Grabau
Bobby Joe Champion (i)
Kari Dziedzic (i)
Scott Dibble (i)
Omar Fateh (i)
Zaynab Mohamed
Erin Murphy (i)
Sandra Pappas (i)
Clare Oumou Verbeten
Foung Hawj (i)
