district,name,mcdname,pop
1,"Hagedorn, Jim",Adams City,787
1,"Hagedorn, Jim",Adams Township,452
1,"Hagedorn, Jim",Adrian City,1209
1,"Hagedorn, Jim",Adrian Township,142
1,"Hagedorn, Jim",Alba Township,170
1,"Hagedorn, Jim",Albert Lea City,18016
1,"Hagedorn, Jim",Albert Lea Township,653
1,"Hagedorn, Jim",Albin Township,348
1,"Hagedorn, Jim",Alden City,661
1,"Hagedorn, Jim",Alden Township,306
1,"Hagedorn, Jim",Alpha City,116
1,"Hagedorn, Jim",Alton Township,434
1,"Hagedorn, Jim",Altura City,493
1,"Hagedorn, Jim",Amboy City,534
1,"Hagedorn, Jim",Amherst Township,378
1,"Hagedorn, Jim",Antrim Township,240
1,"Hagedorn, Jim",Arendahl Township,337
1,"Hagedorn, Jim",Ashland Township,319
1,"Hagedorn, Jim",Aurora Township,574
1,"Hagedorn, Jim",Austin City,24718
1,"Hagedorn, Jim",Austin Township,1004
1,"Hagedorn, Jim",Bancroft Township,976
1,"Hagedorn, Jim",Barber Township,248
1,"Hagedorn, Jim",Bashaw Township,243
1,"Hagedorn, Jim",Bath Township,440
1,"Hagedorn, Jim",Battle Plain Township,199
1,"Hagedorn, Jim",Beauford Township,406
1,"Hagedorn, Jim",Beaver Creek City,297
1,"Hagedorn, Jim",Beaver Creek Township,386
1,"Hagedorn, Jim",Beaver Township,242
1,"Hagedorn, Jim",Belgrade Township,1052
1,"Hagedorn, Jim",Belmont Township,218
1,"Hagedorn, Jim",Bennington Township,169
1,"Hagedorn, Jim",Berlin Township,519
1,"Hagedorn, Jim",Bernadotte Township,278
1,"Hagedorn, Jim",Bigelow City,235
1,"Hagedorn, Jim",Bigelow Township,373
1,"Hagedorn, Jim",Bingham Lake City,126
1,"Hagedorn, Jim",Black Hammer Township,245
1,"Hagedorn, Jim",Bloomfield Township,353
1,"Hagedorn, Jim",Blooming Grove Township,525
1,"Hagedorn, Jim",Blooming Prairie City,1996
1,"Hagedorn, Jim",Blooming Prairie Township,430
1,"Hagedorn, Jim",Bloom Township,158
1,"Hagedorn, Jim",Blue Earth City,3353
1,"Hagedorn, Jim",Blue Earth City Township,387
1,"Hagedorn, Jim",Brewster City,473
1,"Hagedorn, Jim",Bricelyn City,365
1,"Hagedorn, Jim",Brighton Township,149
1,"Hagedorn, Jim",Bristol Township,396
1,"Hagedorn, Jim",Brownsdale City,676
1,"Hagedorn, Jim",Brownsville City,466
1,"Hagedorn, Jim",Brownsville Township,445
1,"Hagedorn, Jim",Brush Creek Township,225
1,"Hagedorn, Jim",Burnstown Township,268
1,"Hagedorn, Jim",Butterfield City,586
1,"Hagedorn, Jim",Butterfield Township,213
1,"Hagedorn, Jim",Butternut Valley Township,325
1,"Hagedorn, Jim",Byron City,4914
1,"Hagedorn, Jim",Byron Township,230
1,"Hagedorn, Jim",Caledonia City,2868
1,"Hagedorn, Jim",Caledonia Township,641
1,"Hagedorn, Jim",Cambria Township,260
1,"Hagedorn, Jim",Canisteo Township,654
1,"Hagedorn, Jim",Cannon City Township,1215
1,"Hagedorn, Jim",Canton City,346
1,"Hagedorn, Jim",Canton Township,724
1,"Hagedorn, Jim",Carimona Township,296
1,"Hagedorn, Jim",Carlston Township,305
1,"Hagedorn, Jim",Carrolton Township,314
1,"Hagedorn, Jim",Carson Township,280
1,"Hagedorn, Jim",Cascade Township,2815
1,"Hagedorn, Jim",Cedar Township,223
1,"Hagedorn, Jim",Center Creek Township,217
1,"Hagedorn, Jim",Ceresco Township,239
1,"Hagedorn, Jim",Ceylon City,369
1,"Hagedorn, Jim",Chatfield City,2779
1,"Hagedorn, Jim",Chatfield Township,531
1,"Hagedorn, Jim",Christiania Township,249
1,"Hagedorn, Jim",Claremont City,548
1,"Hagedorn, Jim",Claremont Township,461
1,"Hagedorn, Jim",Clarks Grove City,706
1,"Hagedorn, Jim",Clark Township,254
1,"Hagedorn, Jim",Clayton Township,158
1,"Hagedorn, Jim",Cleveland City,719
1,"Hagedorn, Jim",Cleveland Township,658
1,"Hagedorn, Jim",Clinton Falls Township,351
1,"Hagedorn, Jim",Clinton Township,277
1,"Hagedorn, Jim",Cobden City,36
1,"Hagedorn, Jim",Comfrey City,382
1,"Hagedorn, Jim",Concord Township,574
1,"Hagedorn, Jim",Conger City,146
1,"Hagedorn, Jim",Cordova Township,471
1,"Hagedorn, Jim",Cottonwood Township,840
1,"Hagedorn, Jim",Courtland City,611
1,"Hagedorn, Jim",Courtland Township,630
1,"Hagedorn, Jim",Crooked Creek Township,285
1,"Hagedorn, Jim",Dakota City,323
1,"Hagedorn, Jim",Danville Township,240
1,"Hagedorn, Jim",Darfur City,108
1,"Hagedorn, Jim",Decoria Township,1104
1,"Hagedorn, Jim",Deerfield Township,517
1,"Hagedorn, Jim",Delafield Township,226
1,"Hagedorn, Jim",Delavan City,179
1,"Hagedorn, Jim",Delavan Township,228
1,"Hagedorn, Jim",Delton Township,123
1,"Hagedorn, Jim",Denver Township,173
1,"Hagedorn, Jim",Derrynane Township,508
1,"Hagedorn, Jim",Des Moines Township,232
1,"Hagedorn, Jim",Dewald Township,254
1,"Hagedorn, Jim",Dexter City,341
1,"Hagedorn, Jim",Dexter Township,310
1,"Hagedorn, Jim",Dodge Center City,2670
1,"Hagedorn, Jim",Dover City,735
1,"Hagedorn, Jim",Dover Township,389
1,"Hagedorn, Jim",Dresbach Township,456
1,"Hagedorn, Jim",Dunbar Township,283
1,"Hagedorn, Jim",Dundee City,68
1,"Hagedorn, Jim",Dunnell City,167
1,"Hagedorn, Jim",Eagle Lake City,2422
1,"Hagedorn, Jim",East Chain Township,296
1,"Hagedorn, Jim",Easton City,199
1,"Hagedorn, Jim",Eden Township,254
1,"Hagedorn, Jim",Eitzen City,243
1,"Hagedorn, Jim",Elba City,152
1,"Hagedorn, Jim",Elba Township,311
1,"Hagedorn, Jim",Elkton City,141
1,"Hagedorn, Jim",Elk Township,253
1,"Hagedorn, Jim",Ellendale City,691
1,"Hagedorn, Jim",Ellington Township,261
1,"Hagedorn, Jim",Ellsworth City,463
1,"Hagedorn, Jim",Elm Creek Township,188
1,"Hagedorn, Jim",Elmira Township,354
1,"Hagedorn, Jim",Elmore City,663
1,"Hagedorn, Jim",Elmore Township,181
1,"Hagedorn, Jim",Elysian City,652
1,"Hagedorn, Jim",Elysian Township,1046
1,"Hagedorn, Jim",Emerald Township,222
1,"Hagedorn, Jim",Emmons City,391
1,"Hagedorn, Jim",Enterprise Township,187
1,"Hagedorn, Jim",Erin Township,859
1,"Hagedorn, Jim",Evan City,86
1,"Hagedorn, Jim",Ewington Township,244
1,"Hagedorn, Jim",Eyota City,1977
1,"Hagedorn, Jim",Eyota Township,464
1,"Hagedorn, Jim",Fairmont City,10666
1,"Hagedorn, Jim",Fairmont Township,318
1,"Hagedorn, Jim",Faribault City,23352
1,"Hagedorn, Jim",Farmington Township,444
1,"Hagedorn, Jim",Fieldon Township,209
1,"Hagedorn, Jim",Fillmore Township,457
1,"Hagedorn, Jim",Forest Township,1233
1,"Hagedorn, Jim",Forestville Township,356
1,"Hagedorn, Jim",Foster Township,239
1,"Hagedorn, Jim",Fountain City,410
1,"Hagedorn, Jim",Fountain Township,315
1,"Hagedorn, Jim",Fox Lake Township,256
1,"Hagedorn, Jim",Frankford Township,371
1,"Hagedorn, Jim",Fraser Township,304
1,"Hagedorn, Jim",Freeborn City,297
1,"Hagedorn, Jim",Freeborn Township,267
1,"Hagedorn, Jim",Freedom Township,326
1,"Hagedorn, Jim",Freeman Township,496
1,"Hagedorn, Jim",Fremont Township,355
1,"Hagedorn, Jim",Frost City,198
1,"Hagedorn, Jim",Galena Township,248
1,"Hagedorn, Jim",Garden City Township,689
1,"Hagedorn, Jim",Geneva City,555
1,"Hagedorn, Jim",Geneva Township,421
1,"Hagedorn, Jim",Germantown Township,121
1,"Hagedorn, Jim",Glenville City,643
1,"Hagedorn, Jim",Good Thunder City,583
1,"Hagedorn, Jim",Goodview City,4036
1,"Hagedorn, Jim",Graham Lakes Township,218
1,"Hagedorn, Jim",Granada City,303
1,"Hagedorn, Jim",Granby Township,246
1,"Hagedorn, Jim",Grand Meadow City,1139
1,"Hagedorn, Jim",Grand Meadow Township,306
1,"Hagedorn, Jim",Grand Prairie Township,206
1,"Hagedorn, Jim",Hanska City,402
1,"Hagedorn, Jim",Hardwick City,198
1,"Hagedorn, Jim",Harmony City,1020
1,"Hagedorn, Jim",Harmony Township,387
1,"Hagedorn, Jim",Hartland City,315
1,"Hagedorn, Jim",Hartland Township,256
1,"Hagedorn, Jim",Hart Township,357
1,"Hagedorn, Jim",Havana Township,570
1,"Hagedorn, Jim",Haverhill Township,1495
1,"Hagedorn, Jim",Hayfield City,1340
1,"Hagedorn, Jim",Hayfield Township,465
1,"Hagedorn, Jim",Hayward City,250
1,"Hagedorn, Jim",Hayward Township,381
1,"Hagedorn, Jim",Heidelberg City,122
1,"Hagedorn, Jim",Heron Lake City,698
1,"Hagedorn, Jim",Heron Lake Township,333
1,"Hagedorn, Jim",Hersey Township,219
1,"Hagedorn, Jim",High Forest Township,976
1,"Hagedorn, Jim",Hills City,686
1,"Hagedorn, Jim",Hillsdale Township,912
1,"Hagedorn, Jim",Hokah City,580
1,"Hagedorn, Jim",Hokah Township,497
1,"Hagedorn, Jim",Hollandale City,303
1,"Hagedorn, Jim",Holt Township,271
1,"Hagedorn, Jim",Homer Township,1356
1,"Hagedorn, Jim",Home Township,545
1,"Hagedorn, Jim",Houston City,979
1,"Hagedorn, Jim",Houston Township,396
1,"Hagedorn, Jim",Hunter Township,224
1,"Hagedorn, Jim",Indian Lake Township,232
1,"Hagedorn, Jim",Iosco Township,550
1,"Hagedorn, Jim",Jackson City,3299
1,"Hagedorn, Jim",Jamestown Township,693
1,"Hagedorn, Jim",Janesville City,2256
1,"Hagedorn, Jim",Janesville Township,513
1,"Hagedorn, Jim",Jasper City,60
1,"Hagedorn, Jim",Jay Township,237
1,"Hagedorn, Jim",Jefferson Township,129
1,"Hagedorn, Jim",Jo Daviess Township,245
1,"Hagedorn, Jim",Jordan Township,352
1,"Hagedorn, Jim",Judson Township,554
1,"Hagedorn, Jim",Kalmar Township,1046
1,"Hagedorn, Jim",Kanaranzi Township,247
1,"Hagedorn, Jim",Kasota City,675
1,"Hagedorn, Jim",Kasota Township,1581
1,"Hagedorn, Jim",Kasson City,5931
1,"Hagedorn, Jim",Kenneth City,68
1,"Hagedorn, Jim",Kiester City,501
1,"Hagedorn, Jim",Kiester Township,260
