district,name,party,zip
1,"Finstad, Brad",Rep,55009
1,"Finstad, Brad",Rep,55018
1,"Finstad, Brad",Rep,55021
1,"Finstad, Brad",Rep,55026
1,"Finstad, Brad",Rep,55027
1,"Finstad, Brad",Rep,55033
1,"Finstad, Brad",Rep,55041
1,"Finstad, Brad",Rep,55049
1,"Finstad, Brad",Rep,55052
1,"Finstad, Brad",Rep,55053
1,"Finstad, Brad",Rep,55057
1,"Finstad, Brad",Rep,55060
1,"Finstad, Brad",Rep,55065
1,"Finstad, Brad",Rep,55066
1,"Finstad, Brad",Rep,55087
1,"Finstad, Brad",Rep,55089
1,"Finstad, Brad",Rep,55332
1,"Finstad, Brad",Rep,55333
1,"Finstad, Brad",Rep,55334
1,"Finstad, Brad",Rep,55335
1,"Finstad, Brad",Rep,55901
1,"Finstad, Brad",Rep,55902
1,"Finstad, Brad",Rep,55904
1,"Finstad, Brad",Rep,55906
1,"Finstad, Brad",Rep,55909
1,"Finstad, Brad",Rep,55910
1,"Finstad, Brad",Rep,55912
1,"Finstad, Brad",Rep,55917
1,"Finstad, Brad",Rep,55918
1,"Finstad, Brad",Rep,55919
1,"Finstad, Brad",Rep,55920
1,"Finstad, Brad",Rep,55921
1,"Finstad, Brad",Rep,55922
1,"Finstad, Brad",Rep,55923
1,"Finstad, Brad",Rep,55924
1,"Finstad, Brad",Rep,55925
1,"Finstad, Brad",Rep,55926
1,"Finstad, Brad",Rep,55927
1,"Finstad, Brad",Rep,55929
1,"Finstad, Brad",Rep,55931
1,"Finstad, Brad",Rep,55932
1,"Finstad, Brad",Rep,55933
1,"Finstad, Brad",Rep,55934
1,"Finstad, Brad",Rep,55935
1,"Finstad, Brad",Rep,55936
1,"Finstad, Brad",Rep,55939
1,"Finstad, Brad",Rep,55940
1,"Finstad, Brad",Rep,55941
1,"Finstad, Brad",Rep,55943
1,"Finstad, Brad",Rep,55944
1,"Finstad, Brad",Rep,55945
1,"Finstad, Brad",Rep,55946
1,"Finstad, Brad",Rep,55947
1,"Finstad, Brad",Rep,55949
1,"Finstad, Brad",Rep,55950
1,"Finstad, Brad",Rep,55951
1,"Finstad, Brad",Rep,55952
1,"Finstad, Brad",Rep,55953
1,"Finstad, Brad",Rep,55954
1,"Finstad, Brad",Rep,55955
1,"Finstad, Brad",Rep,55956
1,"Finstad, Brad",Rep,55957
1,"Finstad, Brad",Rep,55959
1,"Finstad, Brad",Rep,55960
1,"Finstad, Brad",Rep,55961
1,"Finstad, Brad",Rep,55962
1,"Finstad, Brad",Rep,55963
1,"Finstad, Brad",Rep,55964
1,"Finstad, Brad",Rep,55965
1,"Finstad, Brad",Rep,55967
1,"Finstad, Brad",Rep,55968
1,"Finstad, Brad",Rep,55969
1,"Finstad, Brad",Rep,55970
1,"Finstad, Brad",Rep,55971
1,"Finstad, Brad",Rep,55972
1,"Finstad, Brad",Rep,55973
1,"Finstad, Brad",Rep,55974
1,"Finstad, Brad",Rep,55975
1,"Finstad, Brad",Rep,55976
1,"Finstad, Brad",Rep,55977
1,"Finstad, Brad",Rep,55979
1,"Finstad, Brad",Rep,55981
1,"Finstad, Brad",Rep,55982
1,"Finstad, Brad",Rep,55983
1,"Finstad, Brad",Rep,55985
1,"Finstad, Brad",Rep,55987
1,"Finstad, Brad",Rep,55988
1,"Finstad, Brad",Rep,55990
1,"Finstad, Brad",Rep,55991
1,"Finstad, Brad",Rep,55992
1,"Finstad, Brad",Rep,56001
1,"Finstad, Brad",Rep,56003
1,"Finstad, Brad",Rep,56007
1,"Finstad, Brad",Rep,56009
1,"Finstad, Brad",Rep,56010
1,"Finstad, Brad",Rep,56013
1,"Finstad, Brad",Rep,56014
1,"Finstad, Brad",Rep,56016
1,"Finstad, Brad",Rep,56019
1,"Finstad, Brad",Rep,56020
1,"Finstad, Brad",Rep,56021
1,"Finstad, Brad",Rep,56022
1,"Finstad, Brad",Rep,56023
1,"Finstad, Brad",Rep,56024
1,"Finstad, Brad",Rep,56025
1,"Finstad, Brad",Rep,56026
