district,name,mcdname,mcd,pop
01A,"Burkel, John",Laona Township,2713535594,543
01A,"Burkel, John",Arveson Township,2706902386,96
01A,"Burkel, John",Augsburg Township,2708902764,74
01A,"Burkel, John",Badger City,2713503160,375
01A,"Burkel, John",Barnett Township,2713503610,139
01A,"Burkel, John",Agder Township,2708900388,109
01A,"Burkel, John",Barto Township,2713503808,138
01A,"Burkel, John",Beaver Township,2713504420,107
01A,"Burkel, John",Alvarado City,2708901252,363
01A,"Burkel, John",Alma Township,2708901072,88
01A,"Burkel, John",Big Woods Township,2708905842,53
01A,"Burkel, John",Bloomer Township,2708906535,89
01A,"Burkel, John",Boxville Township,2708907120,39
01A,"Burkel, John",Cannon Township,2706909676,20
01A,"Burkel, John",Caribou Township,2706909874,48
01A,"Burkel, John",Cedarbend Township,2713510414,221
01A,"Burkel, John",Cedar Township,2708910360,86
01A,"Burkel, John",Clow Township,2706912340,46
01A,"Burkel, John",Como Township,2708912808,39
01A,"Burkel, John",Comstock Township,2708912880,105
01A,"Burkel, John",Davis Township,2706914950,30
01A,"Burkel, John",Deer Township,2713515166,105
01A,"Burkel, John",Deerwood Township,2706915382,153
01A,"Burkel, John",Dewey Township,2713515868,122
01A,"Burkel, John",Dieter Township,2713515958,148
01A,"Burkel, John",Donaldson City,2706916030,42
01A,"Burkel, John",Donnelly Township,2708916066,19
01A,"Burkel, John",Eagle Point Township,2708917414,17
01A,"Burkel, John",East Park Township,2708917756,23
01A,"Burkel, John",East Valley Township,2708917864,43
01A,"Burkel, John",Eckvoll Township,2708917972,77
01A,"Burkel, John",Enstrom Township,2713519466,455
01A,"Burkel, John",Espelie Township,2708919736,39
01A,"Burkel, John",Excel Township,2708920060,300
01A,"Burkel, John",Falun Township,2713520492,251
01A,"Burkel, John",Foldahl Township,2708921500,62
01A,"Burkel, John",Fork Township,2708921878,10
01A,"Burkel, John",Golden Valley Township,2713524326,189
01A,"Burkel, John",Grand Plain Township,2708925046,55
01A,"Burkel, John",Granville Township,2706925370,83
01A,"Burkel, John",Greenbush City,2713525604,719
01A,"Burkel, John",Grimstad Township,2713526036,146
01A,"Burkel, John",Grygla City,2708926216,221
01A,"Burkel, John",Hallock City,2706926576,981
01A,"Burkel, John",Hallock Township,2706926594,104
01A,"Burkel, John",Halma City,2706926612,61
01A,"Burkel, John",Hampden Township,2706926846,38
01A,"Burkel, John",Hazelton Township,2706928070,104
01A,"Burkel, John",Hereim Township,2713528628,228
01A,"Burkel, John",Hill Township,2706929078,15
01A,"Burkel, John",Holt City,2708929870,88
01A,"Burkel, John",Holt Township,2708929888,132
01A,"Burkel, John",Humboldt City,2706930446,45
01A,"Burkel, John",Huntly Township,2708930572,77
01A,"Burkel, John",Huss Township,2713530626,120
01A,"Burkel, John",Jadis Township,2713531634,568
01A,"Burkel, John",Jupiter Township,2706932228,111
01A,"Burkel, John",Karlstad City,2706932444,760
01A,"Burkel, John",Kennedy City,2706932732,193
01A,"Burkel, John",Lake Bronson City,2706934136,229
01A,"Burkel, John",Lake Township,2713534010,2090
01A,"Burkel, John",Lancaster City,2706935378,340
01A,"Burkel, John",Argyle City,2708902134,639
01A,"Burkel, John",Lincoln Township,2708937142,117
01A,"Burkel, John",Lind Township,2713537196,56
01A,"Burkel, John",Linsell Township,2708937340,29
01A,"Burkel, John",Malung Township,2713539644,438
01A,"Burkel, John",Marsh Grove Township,2708940778,143
01A,"Burkel, John",McCrea Township,2708938942,241
01A,"Burkel, John",McKinley Township,2706939112,38
01A,"Burkel, John",Mickinock Township,2713541894,301
01A,"Burkel, John",Middle River City,2708941912,303
01A,"Burkel, John",Middle River Township,2708941930,78
01A,"Burkel, John",Moose River Township,2708944026,25
01A,"Burkel, John",Moose Township,2713543900,114
01A,"Burkel, John",Moranville Township,2713544080,887
01A,"Burkel, John",Moylan Township,2708944692,98
01A,"Burkel, John",Nelson Park Township,2708945142,125
01A,"Burkel, John",Nereson Township,2713545178,58
01A,"Burkel, John",Newfolden City,2708945520,368
01A,"Burkel, John",New Folden Township,2708945538,230
01A,"Burkel, John",New Maine Township,2708945718,199
01A,"Burkel, John",New Solum Township,2708945970,325
01A,"Burkel, John",Norden Township,2711346510,379
01A,"Burkel, John",North Roseau Unorganized,2713547216,139
01A,"Burkel, John",North Township,2711346762,708
01A,"Burkel, John",Northwest Roseau Unorganized,2713547357,25
01A,"Burkel, John",Norway Township,2706947410,91
01A,"Burkel, John",Numedal Township,2711347590,90
01A,"Burkel, John",Oak Park Township,2708947878,131
01A,"Burkel, John",Oslo City,2708948976,330
01A,"Burkel, John",Palmville Township,2713549588,39
01A,"Burkel, John",Parker Township,2708949696,35
01A,"Burkel, John",Peatland Unorg.,2706950062,9
01A,"Burkel, John",Pelan Township,2706950074,45
01A,"Burkel, John",Percy Township,2706950452,31
01A,"Burkel, John",Pohlitz Township,2713551748,34
01A,"Burkel, John",Polonia Township,2713551820,34
