district,name,party,zip
01A,John Burkel,R,56673
01A,John Burkel,R,56684
01A,John Burkel,R,56701
01A,John Burkel,R,56710
01A,John Burkel,R,56713
01A,John Burkel,R,56714
01A,John Burkel,R,56720
01A,John Burkel,R,56724
01A,John Burkel,R,56725
01A,John Burkel,R,56726
01A,John Burkel,R,56727
01A,John Burkel,R,56728
01A,John Burkel,R,56729
01A,John Burkel,R,56731
01A,John Burkel,R,56732
01A,John Burkel,R,56733
01A,John Burkel,R,56734
01A,John Burkel,R,56735
01A,John Burkel,R,56737
01A,John Burkel,R,56738
01A,John Burkel,R,56742
01A,John Burkel,R,56744
01A,John Burkel,R,56748
01A,John Burkel,R,56750
01A,John Burkel,R,56751
01A,John Burkel,R,56754
01A,John Burkel,R,56755
01A,John Burkel,R,56756
01A,John Burkel,R,56757
01A,John Burkel,R,56758
01A,John Burkel,R,56759
01A,John Burkel,R,56760
01A,John Burkel,R,56761
01A,John Burkel,R,56762
01A,John Burkel,R,56763
01A,John Burkel,R,58225
01B,Debra Kiel,R,56510
01B,Debra Kiel,R,56516
01B,Debra Kiel,R,56517
01B,Debra Kiel,R,56519
01B,Debra Kiel,R,56523
01B,Debra Kiel,R,56535
01B,Debra Kiel,R,56536
01B,Debra Kiel,R,56540
01B,Debra Kiel,R,56541
01B,Debra Kiel,R,56542
01B,Debra Kiel,R,56545
01B,Debra Kiel,R,56548
01B,Debra Kiel,R,56550
01B,Debra Kiel,R,56556
01B,Debra Kiel,R,56557
01B,Debra Kiel,R,56568
01B,Debra Kiel,R,56574
01B,Debra Kiel,R,56581
01B,Debra Kiel,R,56584
01B,Debra Kiel,R,56585
01B,Debra Kiel,R,56592
01B,Debra Kiel,R,56621
01B,Debra Kiel,R,56644
01B,Debra Kiel,R,56646
01B,Debra Kiel,R,56651
01B,Debra Kiel,R,56684
01B,Debra Kiel,R,56710
01B,Debra Kiel,R,56715
01B,Debra Kiel,R,56716
01B,Debra Kiel,R,56721
01B,Debra Kiel,R,56722
01B,Debra Kiel,R,56723
01B,Debra Kiel,R,56736
01B,Debra Kiel,R,56742
01B,Debra Kiel,R,56744
01B,Debra Kiel,R,56748
01B,Debra Kiel,R,56750
01B,Debra Kiel,R,56762
02A,Matthew J. Grossell,R,56601
02A,Matthew J. Grossell,R,56623
02A,Matthew J. Grossell,R,56630
02A,Matthew J. Grossell,R,56634
02A,Matthew J. Grossell,R,56644
02A,Matthew J. Grossell,R,56650
02A,Matthew J. Grossell,R,56652
02A,Matthew J. Grossell,R,56666
02A,Matthew J. Grossell,R,56667
02A,Matthew J. Grossell,R,56670
02A,Matthew J. Grossell,R,56671
02A,Matthew J. Grossell,R,56673
02A,Matthew J. Grossell,R,56676
02A,Matthew J. Grossell,R,56678
02A,Matthew J. Grossell,R,56683
02A,Matthew J. Grossell,R,56685
02A,Matthew J. Grossell,R,56686
02A,Matthew J. Grossell,R,56687
02A,Matthew J. Grossell,R,56711
