district,name,mcdname,mcd,pop
01,Mark Johnson,Alma Township,27089663416,77
01,Mark Johnson,Alvarado City,270892393942,388
01,Mark Johnson,Andover Township,27119663433,109
01,Mark Johnson,Angus Township,27119663436,82
01,Mark Johnson,Anthony Township,27107663442,65
01,Mark Johnson,Argyle City,270892393982,544
01,Mark Johnson,Arveson Township,27069663464,100
01,Mark Johnson,Augsburg Township,27089663477,71
01,Mark Johnson,Badger City,271352394049,429
01,Mark Johnson,Badger Township,27119663490,118
01,Mark Johnson,Barnett Township,27135663508,137
01,Mark Johnson,Barto Township,27135663516,116
01,Mark Johnson,Bear Park Township,27107663531,172
01,Mark Johnson,Beaver Township,27135663538,98
01,Mark Johnson,Belgium Township,27119663550,63
01,Mark Johnson,Beltrami City,271192394126,88
01,Mark Johnson,Big Woods Township,27089663591,35
01,Mark Johnson,Black River Township,27113663610,67
01,Mark Johnson,Bloomer Township,27089663616,71
01,Mark Johnson,Borup City,271072394223,96
01,Mark Johnson,Boxville Township,27089663640,125
01,Mark Johnson,Brandsvold Township,27119663654,253
01,Mark Johnson,Brandt Township,27119663655,45
01,Mark Johnson,Bray Township,27113663656,53
01,Mark Johnson,Brislet Township,27119663667,46
01,Mark Johnson,Brooks City,271252393431,117
01,Mark Johnson,Browns Creek Township,27125663681,41
01,Mark Johnson,Bygland Township,27119663719,258
01,Mark Johnson,Cannon Township,27069663741,18
01,Mark Johnson,Caribou Township,27069663748,32
01,Mark Johnson,Cedarbend Township,27135663766,157
01,Mark Johnson,Cedar Township,27089663764,74
01,Mark Johnson,Chester Township,27119663792,96
01,Mark Johnson,Climax City,271192393565,245
01,Mark Johnson,Cloverleaf Township,27113663838,90
01,Mark Johnson,Clow Township,27069663839,33
01,Mark Johnson,Columbia Township,27119663851,438
01,Mark Johnson,Como Township,27089663857,44
01,Mark Johnson,Comstock Township,27089663860,127
01,Mark Johnson,Crookston City,271192393678,7482
01,Mark Johnson,Crookston Township,27119663894,441
01,Mark Johnson,Davis Township,27069663933,35
01,Mark Johnson,Deer Park Township,27113663947,128
01,Mark Johnson,Deer Township,27135663940,109
01,Mark Johnson,Deerwood Township,27069663952,143
01,Mark Johnson,Dewey Township,27135663975,98
01,Mark Johnson,Dieter Township,27135663979,148
01,Mark Johnson,Donaldson City,270692394543,20
01,Mark Johnson,Donnelly Township,27089663989,20
01,Mark Johnson,Agder Township,27089663386,112
