district,name,party,zip
01,Mark Johnson,R,56510
01,Mark Johnson,R,56516
01,Mark Johnson,R,56517
01,Mark Johnson,R,56519
01,Mark Johnson,R,56523
01,Mark Johnson,R,56535
01,Mark Johnson,R,56536
01,Mark Johnson,R,56540
01,Mark Johnson,R,56541
01,Mark Johnson,R,56542
01,Mark Johnson,R,56545
01,Mark Johnson,R,56548
01,Mark Johnson,R,56550
01,Mark Johnson,R,56556
01,Mark Johnson,R,56557
01,Mark Johnson,R,56568
01,Mark Johnson,R,56574
01,Mark Johnson,R,56581
01,Mark Johnson,R,56584
01,Mark Johnson,R,56585
01,Mark Johnson,R,56592
01,Mark Johnson,R,56621
01,Mark Johnson,R,56644
01,Mark Johnson,R,56646
01,Mark Johnson,R,56651
01,Mark Johnson,R,56673
01,Mark Johnson,R,56684
01,Mark Johnson,R,56701
01,Mark Johnson,R,56710
01,Mark Johnson,R,56713
01,Mark Johnson,R,56714
01,Mark Johnson,R,56715
01,Mark Johnson,R,56716
01,Mark Johnson,R,56720
01,Mark Johnson,R,56721
01,Mark Johnson,R,56722
01,Mark Johnson,R,56723
01,Mark Johnson,R,56724
01,Mark Johnson,R,56725
01,Mark Johnson,R,56726
01,Mark Johnson,R,56727
01,Mark Johnson,R,56728
01,Mark Johnson,R,56729
01,Mark Johnson,R,56731
01,Mark Johnson,R,56732
01,Mark Johnson,R,56733
01,Mark Johnson,R,56734
01,Mark Johnson,R,56735
01,Mark Johnson,R,56736
01,Mark Johnson,R,56737
01,Mark Johnson,R,56738
01,Mark Johnson,R,56742
01,Mark Johnson,R,56744
01,Mark Johnson,R,56748
01,Mark Johnson,R,56750
01,Mark Johnson,R,56751
01,Mark Johnson,R,56754
01,Mark Johnson,R,56755
01,Mark Johnson,R,56756
01,Mark Johnson,R,56757
01,Mark Johnson,R,56758
01,Mark Johnson,R,56759
01,Mark Johnson,R,56760
01,Mark Johnson,R,56761
01,Mark Johnson,R,56762
01,Mark Johnson,R,56763
01,Mark Johnson,R,58225
02,Steve Green,R,55721
02,Steve Green,R,56433
02,Steve Green,R,56452
02,Steve Green,R,56461
02,Steve Green,R,56470
02,Steve Green,R,56484
02,Steve Green,R,56516
02,Steve Green,R,56521
02,Steve Green,R,56542
02,Steve Green,R,56554
02,Steve Green,R,56557
02,Steve Green,R,56566
02,Steve Green,R,56569
02,Steve Green,R,56575
02,Steve Green,R,56589
02,Steve Green,R,56591
02,Steve Green,R,56592
02,Steve Green,R,56601
02,Steve Green,R,56621
02,Steve Green,R,56623
02,Steve Green,R,56626
02,Steve Green,R,56628
02,Steve Green,R,56630
02,Steve Green,R,56633
02,Steve Green,R,56634
02,Steve Green,R,56636
02,Steve Green,R,56637
02,Steve Green,R,56641
02,Steve Green,R,56644
02,Steve Green,R,56647
02,Steve Green,R,56650
02,Steve Green,R,56651
02,Steve Green,R,56652
02,Steve Green,R,56655
02,Steve Green,R,56659
02,Steve Green,R,56661
02,Steve Green,R,56663
02,Steve Green,R,56666
02,Steve Green,R,56667
02,Steve Green,R,56670
02,Steve Green,R,56671
02,Steve Green,R,56672
02,Steve Green,R,56673
02,Steve Green,R,56676
02,Steve Green,R,56678
02,Steve Green,R,56680
02,Steve Green,R,56681
02,Steve Green,R,56683
02,Steve Green,R,56685
02,Steve Green,R,56686
02,Steve Green,R,56687
02,Steve Green,R,56688
02,Steve Green,R,56711
02,Steve Green,R,56727
02,Steve Green,R,56741
03,Grant Hauschild,DFL,55601
03,Grant Hauschild,DFL,55602
03,Grant Hauschild,DFL,55603
